"","DEM","slope","aspect","profile_curvature","plan_curvature","twi","longitude","latitude","ph_0_5","ph_5_15","ph_15_30","oc_0_5","oc_5_15","oc_15_30","ph_mean","oc_mean"
"DEM",1,-0.0807995214969275,0.195823841937768,0.220018433405186,0.174691886020714,-0.270618276165342,0.507875689800378,-0.67203374500509,-0.0491502303253653,0.0508306979727128,-0.0133655279222876,0.153179874962437,0.0361075399158273,0.0682784282762231,-0.0137472128287838,0.141742108182006
"slope",-0.0807995214969275,1,0.0189685847342014,0.0806951239601776,0.0298824017012422,-0.326096093865059,-0.0499593393666056,-0.0477094721986259,0.0134873338773917,-0.130505937341568,0.0231397364099759,0.182210629176295,0.149250473883645,0.232668373252578,-0.0518049590735012,0.271014387181616
"aspect",0.195823841937768,0.0189685847342014,1,0.0305998123050135,-0.154583539893072,-0.0238811918636415,0.226621297490909,-0.137381823932868,0.0281950065074714,0.153202659107125,0.0868585175569995,-0.0146180656783993,0.0601778369768538,-0.113592645175712,0.143926308500151,-0.0197013356997196
"profile_curvature",0.220018433405186,0.0806951239601776,0.0305998123050135,1,0.1235484833913,-0.232764010781702,-0.00681971160648832,0.0532909259022678,0.15461742885924,-0.104496352781913,-0.0591853762151538,0.157535708091884,0.0438452414331652,0.136895210256606,0.0284950281510107,0.171727093283112
"plan_curvature",0.174691886020714,0.0298824017012422,-0.154583539893072,0.1235484833913,1,-0.507279704405782,0.0508403243859001,0.115142702140924,-0.125312105626762,-0.120642492010142,-0.0712341601759858,-0.0479275674036555,-0.107499481570642,0.0817405182872033,-0.189715658880588,-0.0550772738170473
"twi",-0.270618276165342,-0.326096093865059,-0.0238811918636415,-0.232764010781702,-0.507279704405782,1,0.0775973797115406,-0.0279097716693652,0.125203650098831,0.102792737865058,-0.0305558933255251,-0.177340664940378,-0.126621773118649,-0.0419775888596141,0.13422612395692,-0.191927672138656
"longitude",0.507875689800378,-0.0499593393666056,0.226621297490909,-0.00681971160648832,0.0508403243859001,0.0775973797115406,1,-0.481624457646334,0.0386253035492836,0.0498707013740333,-0.184870937807188,0.00588737358383966,-0.0145775784427481,0.113359675170854,-0.0271091900042322,0.0356150648222628
"latitude",-0.67203374500509,-0.0477094721986259,-0.137381823932868,0.0532909259022678,0.115142702140924,-0.0279097716693652,-0.481624457646334,1,0.095546948537476,0.0143126051363679,0.0155303858283122,-0.0624227783104183,-0.0137644914104148,-0.111318082867686,0.0844467192658726,-0.0857992038895247
"ph_0_5",-0.0491502303253653,0.0134873338773917,0.0281950065074714,0.15461742885924,-0.125312105626762,0.125203650098831,0.0386253035492836,0.095546948537476,1,-0.00682425601462651,-0.00201786227121328,-0.0211259910798738,0.0447136661314081,0.0368892644918065,0.723769234836192,0.0199678787068156
"ph_5_15",0.0508306979727128,-0.130505937341568,0.153202659107125,-0.104496352781913,-0.120642492010142,0.102792737865058,0.0498707013740333,0.0143126051363679,-0.00682425601462651,1,-0.0576366823579033,-0.0171405298329912,0.00219188576687918,-0.135181810223917,0.520833886387179,-0.056407707751307
"ph_15_30",-0.0133655279222876,0.0231397364099759,0.0868585175569995,-0.0591853762151538,-0.0712341601759858,-0.0305558933255251,-0.184870937807188,0.0155303858283122,-0.00201786227121328,-0.0576366823579033,1,0.0447888515662688,0.0466201632494332,0.019414927937963,0.414369764994222,0.058467303992525
"oc_0_5",0.153179874962437,0.182210629176295,-0.0146180656783993,0.157535708091884,-0.0479275674036555,-0.177340664940378,0.00588737358383966,-0.0624227783104183,-0.0211259910798738,-0.0171405298329912,0.0447888515662688,1,0.178778523289236,0.228045556533449,-0.00479481250676159,0.823872504918525
"oc_5_15",0.0361075399158273,0.149250473883645,0.0601778369768538,0.0438452414331652,-0.107499481570642,-0.126621773118649,-0.0145775784427481,-0.0137644914104148,0.0447136661314081,0.00219188576687918,0.0466201632494332,0.178778523289236,1,0.0112290336431498,0.0546488267686228,0.59918967361323
"oc_15_30",0.0682784282762231,0.232668373252578,-0.113592645175712,0.136895210256606,0.0817405182872033,-0.0419775888596141,0.113359675170854,-0.111318082867686,0.0368892644918065,-0.135181810223917,0.019414927937963,0.228045556533449,0.0112290336431498,1,-0.0390047112944718,0.497269047434318
"ph_mean",-0.0137472128287838,-0.0518049590735012,0.143926308500151,0.0284950281510107,-0.189715658880588,0.13422612395692,-0.0271091900042322,0.0844467192658726,0.723769234836192,0.520833886387179,0.414369764994222,-0.00479481250676159,0.0546488267686228,-0.0390047112944718,1,0.00960242115638105
"oc_mean",0.141742108182006,0.271014387181616,-0.0197013356997196,0.171727093283112,-0.0550772738170473,-0.191927672138656,0.0356150648222628,-0.0857992038895247,0.0199678787068156,-0.056407707751307,0.058467303992525,0.823872504918525,0.59918967361323,0.497269047434318,0.00960242115638105,1
